Invoice_Text,Category
Import machinery from Singapore Rs 371183,Import
Debit note against shortage Rs 388515,Debit Note
Debit note raised for additional tax Rs 258246,Debit Note
IT support service to France Rs 486171,Export
Walk-in customer invoice Rs 391298,B2C
Corporate software license for Google Rs 11243,B2B
Walk-in customer invoice Rs 12306,B2C
Credit note for cancelled order Rs 333919,Credit Note
Credit note issued against damaged goods Rs 272456,Credit Note
Import machinery from Germany Rs 344837,Import
Sales return credit note Rs 494058,Credit Note
GST invoice raised on ABC Pvt Ltd Rs 41764,B2B
Mobile phone sale bill Rs 62738,B2C
Mobile phone sale bill Rs 390347,B2C
GST payment for current month Rs 237333,GST Payment
GST refund from department Rs 133225,GST Refund
International client invoice Australia Rs 288169,Export
GST payment for current month Rs 221630,GST Payment
Import electronics from Singapore Rs 35189,Import
IT support service to China Rs 262524,Export
Retail customer purchase bill Rs 474283,B2C
GST payment for current month Rs 405155,GST Payment
International client invoice South Korea Rs 293620,Export
Walk-in customer invoice Rs 317764,B2C
Hospital treatment charges Rs 137541,Exempt Supply
Mobile phone sale bill Rs 146833,B2C
Director remuneration Rs 154227,Reverse Charge
Wholesale supply to Tata Steel Rs 422640,B2B
Healthcare exempt supply Rs 476824,Exempt Supply
Wholesale supply to Reliance Rs 342232,B2B
Import machinery from USA Rs 284250,Import
GST invoice raised on Tech Mahindra Rs 130419,B2B
Educational service invoice Rs 283982,Exempt Supply
Agricultural produce sale Rs 427341,Exempt Supply
Import electronics from Canada Rs 164539,Import
Debit note for freight charges Rs 61759,Debit Note
GST refund received Rs 84895,GST Refund
Reverse charge professional service Rs 275040,Reverse Charge
School tuition fees Rs 272286,Exempt Supply
Credit adjustment invoice Rs 265757,Credit Note
Input GST refund Rs 150594,GST Refund
Legal service under reverse charge Rs 387326,Reverse Charge
Invoice to Flipkart Rs 129028,B2B
Wholesale supply to Wipro Rs 228382,B2B
Mobile phone sale bill Rs 285753,B2C
Export GST refund Rs 379814,GST Refund
GST refund received Rs 286119,GST Refund
Healthcare exempt supply Rs 168620,Exempt Supply
GST liability payment Rs 365127,GST Payment
Debit note raised for additional tax Rs 226024,Debit Note
Educational service invoice Rs 304704,Exempt Supply
Hospital treatment charges Rs 227907,Exempt Supply
Sales return credit note Rs 318178,Credit Note
Debit note for freight charges Rs 67946,Debit Note
Consulting invoice to South Korea Rs 430157,Export
GST deposited through bank Rs 412306,GST Payment
Export software service to France Rs 358490,Export
Wholesale supply to Wipro Rs 449498,B2B
Hardware purchase from France Rs 259745,Import
Debit note for freight charges Rs 268482,Debit Note
Customer return credit note Rs 110453,Credit Note
Reverse charge professional service Rs 124324,Reverse Charge
Reverse charge professional service Rs 307095,Reverse Charge
Input GST refund Rs 491095,GST Refund
Wholesale supply to TCS Rs 175197,B2B
Debit note against shortage Rs 16128,Debit Note
GST payment for current month Rs 113131,GST Payment
Credit adjustment invoice Rs 324589,Credit Note
GST refund from department Rs 221628,GST Refund
Agricultural produce sale Rs 238373,Exempt Supply
Raw material imported from Japan Rs 148106,Import
Wholesale supply to Google Rs 296491,B2B
Corporate software license for Infosys Rs 360374,B2B
Wholesale supply to Infosys Rs 66012,B2B
IT support service to Germany Rs 224363,Export
Credit note issued against damaged goods Rs 360428,Credit Note
Mobile phone sale bill Rs 245668,B2C
Debit note for transport expenses Rs 386164,Debit Note
Debit note for freight charges Rs 395381,Debit Note
Input GST refund Rs 416195,GST Refund
GST payment for current month Rs 321878,GST Payment
GST payment for current month Rs 484937,GST Payment
Advocate service payment Rs 191932,Reverse Charge
Hardware purchase from China Rs 172769,Import
GST liability payment Rs 375598,GST Payment
