Invoice_Text,Category
Invoice to Google Rs 46663,B2B
Wholesale Sale to TCS Rs 69007,B2B
Invoice to Adani Rs 1580,B2B
Invoice to Tata Steel Rs 85224,B2B
Invoice to Flipkart Rs 72260,B2B
GST Invoice to HCL Rs 76882,B2B
Wholesale Sale to Google Rs 72778,B2B
Wholesale Sale to Google Rs 65302,B2B
GST Invoice to Amazon Rs 13501,B2B
Wholesale Sale to Adani Rs 13764,B2B
Wholesale Sale to Tata Steel Rs 49753,B2B
GST Invoice to Tata Steel Rs 26502,B2B
GST Invoice to Amazon Rs 71218,B2B
Invoice to Reliance Rs 55021,B2B
Wholesale Sale to Infosys Rs 97059,B2B
Invoice to Wipro Rs 93191,B2B
Wholesale Sale to Tata Steel Rs 96221,B2B
GST Invoice to Amazon Rs 13343,B2B
Invoice to Flipkart Rs 98689,B2B
GST Invoice to Wipro Rs 61725,B2B
GST Invoice to Infosys Rs 6026,B2B
Wholesale Sale to Flipkart Rs 55580,B2B
Invoice to Reliance Rs 28532,B2B
Wholesale Sale to HCL Rs 31043,B2B
GST Invoice to Flipkart Rs 80435,B2B
Wholesale Sale to Adani Rs 30141,B2B
GST Invoice to Tata Steel Rs 60352,B2B
GST Invoice to Reliance Rs 73389,B2B
Wholesale Sale to Infosys Rs 97193,B2B
Invoice to Adani Rs 43686,B2B
GST Invoice to Adani Rs 58054,B2B
Invoice to Infosys Rs 63663,B2B
GST Invoice to Tata Steel Rs 73857,B2B
Invoice to Google Rs 9391,B2B
GST Invoice to Google Rs 43987,B2B
Wholesale Sale to Wipro Rs 70745,B2B
Wholesale Sale to Adani Rs 12765,B2B
GST Invoice to Adani Rs 35591,B2B
Wholesale Sale to Adani Rs 42218,B2B
Invoice to Wipro Rs 65100,B2B
GST Invoice to Flipkart Rs 78736,B2B
Wholesale Sale to Infosys Rs 77995,B2B
Wholesale Sale to Google Rs 23578,B2B
Invoice to Amazon Rs 31396,B2B
Wholesale Sale to Google Rs 68688,B2B
Invoice to Tata Steel Rs 19155,B2B
GST Invoice to Google Rs 99166,B2B
Wholesale Sale to Google Rs 99066,B2B
GST Invoice to TCS Rs 81695,B2B
Wholesale Sale to Google Rs 67474,B2B
Invoice to Infosys Rs 25520,B2B
Wholesale Sale to Amazon Rs 90128,B2B
Invoice to Adani Rs 14436,B2B
GST Invoice to Google Rs 92224,B2B
Wholesale Sale to Infosys Rs 50014,B2B
Invoice to Infosys Rs 39493,B2B
GST Invoice to Amazon Rs 68572,B2B
Invoice to Infosys Rs 19594,B2B
GST Invoice to Google Rs 17839,B2B
Wholesale Sale to Flipkart Rs 21732,B2B
Wholesale Sale to Flipkart Rs 82559,B2B
Invoice to Flipkart Rs 4425,B2B
Wholesale Sale to HCL Rs 30901,B2B
Wholesale Sale to Adani Rs 70347,B2B
GST Invoice to Wipro Rs 67859,B2B
Invoice to Tata Steel Rs 55434,B2B
Invoice to Tata Steel Rs 24989,B2B
GST Invoice to HCL Rs 83129,B2B
GST Invoice to Adani Rs 6442,B2B
Wholesale Sale to TCS Rs 46368,B2B
Wholesale Sale to TCS Rs 18802,B2B
Invoice to Adani Rs 88752,B2B
Wholesale Sale to Google Rs 1616,B2B
GST Invoice to Infosys Rs 4888,B2B
Wholesale Sale to TCS Rs 8866,B2B
GST Invoice to Infosys Rs 62421,B2B
Wholesale Sale to Adani Rs 64970,B2B
Invoice to Infosys Rs 91006,B2B
Wholesale Sale to Adani Rs 94250,B2B
GST Invoice to Wipro Rs 89376,B2B
Wholesale Sale to Flipkart Rs 12434,B2B
Invoice to Flipkart Rs 85054,B2B
GST Invoice to Tata Steel Rs 37031,B2B
Wholesale Sale to TCS Rs 39355,B2B
Invoice to HCL Rs 88923,B2B
Wholesale Sale to Tata Steel Rs 36043,B2B
Wholesale Sale to TCS Rs 81628,B2B
