Invoice_Text,Category
Flipkart Wholesale Sale Invoice Rs 20289,B2B
Google Invoice to XYZ Industries Rs 60790,B2B
Flipkart GST Invoice to Corporate Client Rs 2192,B2B
Google Wholesale Sale Invoice Rs 32743,B2B
TCS Wholesale Sale Invoice Rs 66461,B2B
HCL Wholesale Sale Invoice Rs 60813,B2B
Airtel B2B Supply Invoice Rs 25462,B2B
Jio Invoice to XYZ Industries Rs 77292,B2B
Reliance Sale Invoice to ABC Pvt Ltd Rs 11121,B2B
Jio Sale Invoice to ABC Pvt Ltd Rs 14427,B2B
TCS Sale Invoice to ABC Pvt Ltd Rs 15594,B2B
Amazon GST Invoice to Corporate Client Rs 77991,B2B
Amazon B2B Supply Invoice Rs 87264,B2B
Infosys B2B Supply Invoice Rs 53236,B2B
Infosys Wholesale Sale Invoice Rs 73112,B2B
Amazon B2B Supply Invoice Rs 95551,B2B
Flipkart GST Invoice to Corporate Client Rs 43300,B2B
Wipro Wholesale Sale Invoice Rs 56437,B2B
Airtel Wholesale Sale Invoice Rs 36695,B2B
Amazon Sale Invoice to ABC Pvt Ltd Rs 40377,B2B
Airtel Invoice to XYZ Industries Rs 35737,B2B
Jio B2B Supply Invoice Rs 77622,B2B
Airtel Wholesale Sale Invoice Rs 60042,B2B
HCL GST Invoice to Corporate Client Rs 67713,B2B
Airtel Invoice to XYZ Industries Rs 28201,B2B
Amazon B2B Supply Invoice Rs 71563,B2B
Jio Sale Invoice to ABC Pvt Ltd Rs 23393,B2B
Wipro B2B Supply Invoice Rs 56350,B2B
Flipkart Invoice to XYZ Industries Rs 55172,B2B
TCS Wholesale Sale Invoice Rs 36680,B2B
Jio Invoice to XYZ Industries Rs 74978,B2B
Airtel Wholesale Sale Invoice Rs 40246,B2B
Wipro Wholesale Sale Invoice Rs 87893,B2B
Reliance Invoice to XYZ Industries Rs 58198,B2B
Airtel Wholesale Sale Invoice Rs 76528,B2B
Flipkart Sale Invoice to ABC Pvt Ltd Rs 88092,B2B
Amazon Sale Invoice to ABC Pvt Ltd Rs 97137,B2B
Wipro Sale Invoice to ABC Pvt Ltd Rs 22427,B2B
Infosys Wholesale Sale Invoice Rs 8347,B2B
Reliance Invoice to XYZ Industries Rs 55674,B2B
Jio B2B Supply Invoice Rs 58511,B2B
Jio Invoice to XYZ Industries Rs 54675,B2B
Airtel Invoice to XYZ Industries Rs 44976,B2B
Jio Sale Invoice to ABC Pvt Ltd Rs 27013,B2B
Infosys GST Invoice to Corporate Client Rs 18130,B2B
TCS Invoice to XYZ Industries Rs 71777,B2B
Jio Wholesale Sale Invoice Rs 22569,B2B
TCS Invoice to XYZ Industries Rs 3925,B2B
Flipkart Invoice to XYZ Industries Rs 85263,B2B
Airtel Sale Invoice to ABC Pvt Ltd Rs 23728,B2B
TCS GST Invoice to Corporate Client Rs 27482,B2B
Infosys B2B Supply Invoice Rs 87771,B2B
Flipkart B2B Supply Invoice Rs 67696,B2B
Jio Wholesale Sale Invoice Rs 13815,B2B
Jio B2B Supply Invoice Rs 49814,B2B
Airtel B2B Supply Invoice Rs 63791,B2B
Flipkart Sale Invoice to ABC Pvt Ltd Rs 36022,B2B
HCL Wholesale Sale Invoice Rs 43929,B2B
Reliance B2B Supply Invoice Rs 28148,B2B
Flipkart Invoice to XYZ Industries Rs 82564,B2B
Infosys Consumer Sale Bill Rs 41663,B2C
Reliance Customer Purchase Invoice Rs 65016,B2C
Flipkart GST Cash Memo Rs 81332,B2C
